Point;Latitude;Longitude;Contexte;P̩riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;ATAV;ATXAV;ASD;ATX35;ATR;ATNFD;ATNCWD;ATXHWD;ARR;ARR1MM;APFL90;APQ99;AFFAV;AFF3;AFFQ98;AFF98;
6531;44.7562;5.2152;RCP4.5;H1;11.51;77;4.57;1;71;3;31;1001.1;103.33;73.56;0.1;8.23;33.76;5.14;6.97;1.18;1.34;18;3.47;1;-17;-3;21;45.72;-0.7;0.81;2.64;0;0.03;-0.01;-0.36;
6532;44.7536;5.3161;RCP4.5;H1;11.78;76;4.97;4;63;4;32;1106.6;121.83;67.55;0.1;9.4;32.47;4.22;6.6;1.21;1.37;18;3.77;4;-16;-2;22;30.71;-1.5;1.12;1.49;0;0.5;-0.07;-0.8;
6533;44.7508;5.417;RCP4.5;H1;10.41;53;2.07;2;75;4;33;1180.12;121.1;67.38;0.1;10.44;33.27;4.72;5.77;1.29;1.46;15;1.7;2;-20;-1;22;13.82;-5.57;1.28;-0.07;-0.02;-0.07;-0.2;-1.56;
6534;44.7479;5.5179;RCP4.5;H1;7.67;17;0;0;106;4;31;1377.4;129.27;67.2;0.13;12.11;38.9;5.98;6.03;1.24;1.39;10;0;0;-18;-1;21;-18.54;-5.6;1.91;-0.87;-0.03;0.2;-0.25;-1.3;
6535;44.745;5.6188;RCP4.5;H1;7.42;17;0;0;112;3;30;1464.47;137.5;63.38;0.13;12.9;37.47;5.25;5.47;1.24;1.43;9;0;0;-20;0;20;-26.48;-5.43;1.43;-0.99;-0.04;0.5;-0.14;-1.9;
6536;44.7419;5.7197;RCP4.5;H1;8.9;42;0.47;0;104;2;37;1065.29;121.53;66.34;0.13;9.64;28.99;6.22;6.73;1.3;1.5;13;0.47;0;-18;-2;25;-29.36;-3.74;0.43;-2.84;-0.02;3.77;-0.11;-0.57;
6537;44.7388;5.8205;RCP4.5;H1;6.47;10;0;0;131;3;31;1187.61;113.07;71.55;0.16;10.17;36.82;5.77;7.13;1.23;1.38;7;0;0;-18;0;22;-38.81;-2.53;0.32;-3.14;-0.01;3;-0.02;-0.2;
6538;44.7355;5.9214;RCP4.5;H1;7.57;28;0.03;0;125;2;32;1112.08;107.43;74.08;0.16;9.31;39.15;6.04;6.97;1.25;1.53;14;0.03;0;-17;0;25;-39.31;-5.17;2.4;1.62;-0.01;1.3;-0.06;-0.33;
6539;44.7322;6.0222;RCP4.5;H1;9.5;47;0.47;0;97;2;35;1097.12;109.67;73;0.13;9.58;36.47;3.94;6.27;1.42;1.59;16;0.47;0;-23;0;25;7;-4.33;1.91;1.86;-0.01;-1.06;-0.06;-1.06;
6540;44.7288;6.123;RCP4.5;H1;6.4;7;0;0;129;2;30;1258.57;114.23;72.6;0.13;10.93;41.45;4.36;7.43;1.39;1.5;6;0;0;-22;0;24;-21.76;-6.04;2.36;1.22;-0.01;-2.1;0.02;0.13;
6541;44.7253;6.2239;RCP4.5;H1;4.74;0;0;0;149;3;26;1357.94;117.57;72.63;0.26;11.56;45.01;4.62;7.4;1.25;1.38;0;0;0;-19;-1;22;-13.98;-5.93;2.69;1.9;-0.02;0.33;-0.04;0.07;
6542;44.7217;6.3247;RCP4.5;H1;3.85;1;0;0;166;4;24;1369.84;118;71.57;0.32;11.95;43.17;4.76;5.7;1.29;1.48;1;0;0;-17;1;21;-52.67;-8.57;2.73;0.45;-0.05;3.43;-0.25;-1.67;
6543;44.718;6.4254;RCP4.5;H1;2.77;0;0;0;180;5;22;1441.98;114.93;73.08;0.16;12.52;46.83;5.13;5.93;1.27;1.42;0;0;0;-18;2;19;-48.27;-8.87;2.79;0.56;-0.05;3.04;-0.28;-1.4;
6544;44.7142;6.5262;RCP4.5;H1;4.91;0;0;0;145;2;21;1028.23;101.97;75.38;0.23;8.77;34.85;4.33;5.77;1.34;1.38;0;0;0;-21;-2;18;-11.61;-7.06;3.27;0.89;-0.02;2.2;-0.1;-1.56;
6545;44.7103;6.627;RCP4.5;H1;7.88;27;0.07;0;124;1;27;763.54;97.63;74.27;0.13;6.27;25.6;3.37;6.13;1.42;1.51;16;0.07;0;-22;-2;20;6.03;-6.24;2.68;0.79;-0.02;1.53;-0.07;-1.2;
6546;44.7063;6.7277;RCP4.5;H1;5.91;5;0;0;143;3;23;854.28;102.03;75.03;0.16;6.71;30.52;4.02;7.57;1.29;1.39;5;0;0;-19;-1;19;25.75;-7.5;3.97;4.12;-0.02;-0.84;0.1;0.24;
6547;44.7023;6.8284;RCP4.5;H1;3.7;0;0;0;171;3;16;908.1;106.83;73.64;0.19;7.12;32.33;4.54;6.43;1.05;1.19;0;0;0;-13;0;14;17.89;-5.37;3.05;4.44;-0.02;0.8;-0.12;-0.9;
6548;44.6981;6.9292;RCP4.5;H1;1.65;0;0;0;198;3;14;968.44;110;72.72;0.23;7.63;33.81;5.04;6.37;1.05;1.16;0;0;0;-15;-1;12;16.75;-5.8;3.22;4.26;-0.02;2.07;-0.08;-0.96;
6549;44.6939;7.0299;RCP4.5;H1;1.17;0;0;0;202;5;14;1016.91;111.17;73.32;0.16;8.17;34.66;5.25;7.33;1.06;1.12;0;0;0;-20;2;12;45.16;-4.86;3.86;4.32;-0.03;2.56;-0.09;0.06;
6610;44.8074;-1.2529;RCP4.5;H1;14.66;58;3.03;15;12;5;15;923.53;126.2;63.96;0.03;7.92;24.81;8.35;6.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6611;44.8106;-1.1519;RCP4.5;H1;14.58;57;3;14;13;5;15;928.27;126.3;63.98;0.03;7.96;24.94;8.32;6.43;0.88;0.94;14;2.47;6;-1;0;11;63.85;0.97;0.85;2.32;0;-2.46;-0.2;-0.9;
6612;44.8138;-1.0509;RCP4.5;H1;14.06;74;3.77;9;21;5;17;976.69;125.1;63.75;0.03;8.59;25.68;6.5;6.53;0.94;1;17;2.77;5;-4;1;11;64.62;0.53;0.71;1.8;0;-1.36;-0.13;-0.8;
6613;44.8168;-0.9499;RCP4.5;H1;13.96;72;4.17;8;22;5;17;963.18;124.5;63.66;0.03;8.51;24.53;6.51;6.47;0.94;1.01;16;3.14;5;-4;1;11;45.88;-0.4;0.51;0.56;0;-3.43;-0.19;-0.86;
6614;44.8198;-0.8489;RCP4.5;H1;13.93;71;4.13;8;22;5;17;964.73;124.57;63.7;0.03;8.53;24.57;6.51;6.5;0.93;1.01;16;3.13;5;-4;1;11;45.7;-0.4;0.58;0.55;0.01;-2.93;-0.19;-0.83;
6615;44.8226;-0.7479;RCP4.5;H1;13.94;71;4.07;8;22;5;18;961.43;124.63;63.73;0.03;8.54;24.52;6.54;6.5;0.93;1;16;3.1;5;-3;2;12;40.81;-0.04;0.49;0.97;0;-3.1;-0.18;-0.83;
6616;44.8254;-0.6469;RCP4.5;H1;14.29;79;4.47;12;21;5;18;896.34;122.67;64.43;0.03;7.94;23.19;5.63;6.6;0.94;1;16;3.1;6;-4;1;12;37.7;0.37;0.38;0.27;0.01;-1.1;-0.13;-0.7;
6617;44.8281;-0.5458;RCP4.5;H1;14.4;83;4.67;13;21;5;18;880.56;122.23;64.61;0.03;7.71;23.56;5.61;6.57;0.95;1.02;18;3.2;6;-3;1;12;27.7;0.03;0.51;0.94;0.01;-1.53;-0.14;-0.76;
6618;44.8307;-0.4448;RCP4.5;H1;13.99;84;4.57;11;23;4;19;819.96;117.77;66.45;0.03;7.31;22.54;5.01;6.8;0.95;1.06;19;3.34;6;-4;0;12;23.15;-0.33;0.16;0.5;0.01;1.37;-0.1;-0.57;
6619;44.8332;-0.3437;RCP4.5;H1;14.04;85;4.73;11;23;5;20;815.22;117.93;66.33;0.06;7.32;22.39;5;6.7;0.96;1.07;20;3.3;6;-5;1;13;20.49;-0.34;0.21;0.46;0.01;0.57;-0.12;-0.6;
6620;44.8356;-0.2426;RCP4.5;H1;14.39;87;5.4;13;20;4;19;785.23;115;65.69;0.06;7.1;21.69;5.14;6.67;0.96;1.07;20;3.77;6;-4;0;12;20.95;-1.1;0.12;0.57;0.01;1;-0.08;-0.66;
6621;44.8379;-0.1416;RCP4.5;H1;14.52;90;5.5;14;20;5;19;778.4;115.23;65.62;0.1;7;21.13;5.15;6.6;0.98;1.07;20;3.83;6;-4;1;12;20.95;-0.44;-0.02;0.47;0.01;0.84;-0.09;-0.73;
6622;44.8401;-0.0405;RCP4.5;H1;14.46;89;5.4;14;20;4;20;781.78;114.83;65.67;0.1;7.15;21.33;5.11;6.73;0.97;1.08;20;3.67;6;-4;1;13;20.17;-0.9;0.16;0.58;0.01;0.64;-0.1;-0.54;
6623;44.8423;0.0606;RCP4.5;H1;14.37;87;5.3;13;20;4;19;787.51;115.03;65.69;0.1;7.2;21.47;5.11;6.8;0.98;1.09;20;3.83;6;-4;1;12;20.47;-1.04;0.2;0.61;0.01;0.97;-0.11;-0.53;
6624;44.8443;0.1617;RCP4.5;H1;14.3;85;5.23;13;21;4;19;792.59;114.8;66.04;0.1;7.14;22.01;5.11;6.63;0.99;1.1;20;3.73;6;-4;0;12;18.97;-1.77;0.47;0.89;0;0.17;-0.08;-0.7;
6625;44.8463;0.2628;RCP4.5;H1;14.38;87;5.4;13;21;5;19;787.04;114.53;66.07;0.1;7.1;21.87;5.11;6.77;0.98;1.1;20;3.8;6;-4;1;12;18.62;-1.77;0.48;0.85;0.01;0.46;-0.09;-0.53;
6626;44.8481;0.3639;RCP4.5;H1;13.94;88;5.33;11;30;5;21;796.65;114.33;67.12;0.13;7.15;22.5;5.31;6.47;1.01;1.12;20;3.6;6;-7;2;14;17.09;-1.7;1.01;0.27;0.01;-1.87;-0.13;-0.86;
6627;44.8499;0.4651;RCP4.5;H1;13.91;86;5.37;10;30;5;22;796.28;113.1;67.45;0.1;7.11;22.9;5.28;6.57;1.02;1.13;20;3.64;5;-6;2;15;13.96;-2.7;1.33;0.58;0;-2.14;-0.14;-0.8;
6628;44.8515;0.5662;RCP4.5;H1;13.78;82;5.2;10;29;5;22;805.88;113.47;67.47;0.1;7.18;23.18;5.17;6.63;1.01;1.14;19;3.7;5;-6;2;15;13.67;-2.86;1.33;0.57;0.01;-2.4;-0.13;-0.7;
6629;44.8531;0.6673;RCP4.5;H1;13.97;84;5.4;11;25;4;22;852.51;120.63;65.06;0.1;7.65;23.17;4.82;6.4;1.02;1.15;20;3.97;5;-4;1;15;-1.04;-4.77;1.48;0.45;0;0.24;-0.14;-0.87;
6630;44.8546;0.7685;RCP4.5;H1;13.6;77;4.93;10;28;5;23;796.45;112.87;67.2;0.06;7.06;22.76;5.06;6.73;1.02;1.15;19;3.66;5;-6;1;16;-11.53;-3.86;1.17;-0.16;0;0.84;-0.09;-0.57;
6631;44.856;0.8696;RCP4.5;H1;14.04;89;5.77;10;28;5;22;871.18;122.37;64.65;0.06;7.6;23.73;5.02;6.87;1.03;1.16;19;3.7;5;-5;1;15;-12.2;-4.16;1.09;0.37;0;0.6;-0.09;-0.46;
6632;44.8573;0.9707;RCP4.5;H1;13.91;86;5.27;10;27;5;24;883.54;121.9;64.42;0.03;7.75;23.75;4.88;6.43;1.03;1.16;21;3.6;5;-5;2;17;-6.14;-4.97;1.17;0.28;-0.01;0.44;-0.12;-0.9;
6633;44.8585;1.0719;RCP4.5;H1;13.86;83;5.17;10;27;5;24;888.75;121.93;64.43;0.03;7.79;23.89;4.84;6.4;1.04;1.16;19;3.54;5;-5;2;17;-6;-5.07;1.17;0.29;-0.01;0.43;-0.12;-0.93;
6634;44.8596;1.1731;RCP4.5;H1;13.76;80;5.2;10;27;5;23;912.07;123.83;64.37;0.03;7.96;24.17;4.76;6.5;1.03;1.15;19;3.77;5;-4;2;16;7.17;-3.67;1.02;0.37;-0.01;0.67;-0.1;-0.87;
6635;44.8606;1.2742;RCP4.5;H1;13.84;83;4.8;10;27;5;23;919.56;125.23;64.58;0.03;7.95;24.57;4.84;6.5;1.01;1.12;19;3.17;5;-5;2;15;25.29;-2;1.33;1.02;-0.02;0.77;-0.08;-0.8;
6636;44.8615;1.3754;RCP4.5;H1;13.83;83;4.73;10;27;5;22;921.05;125.33;64.59;0.03;7.96;24.62;4.82;6.5;1.01;1.12;19;3.13;5;-5;2;14;25.14;-2.04;1.34;1.03;-0.02;0.77;-0.09;-0.8;
6637;44.8624;1.4766;RCP4.5;H1;13.61;88;6.57;8;34;5;25;1040.42;131.8;62.49;0.03;9.17;26.52;4.88;7.17;1.01;1.16;18;3.57;4;-6;2;16;38.49;-2.67;0.94;1.25;-0.02;2.2;-0.07;-0.16;
6638;44.8631;1.5777;RCP4.5;H1;13.54;87;6.4;7;35;5;25;1051;133;61.97;0.03;9.46;26.32;4.86;7.43;1;1.14;18;3.33;3;-5;1;15;49.33;-0.97;0.35;1.34;-0.02;1.06;-0.05;0.03;
6639;44.8638;1.6789;RCP4.5;H1;13.42;80;6.67;9;33;5;26;967.86;127.87;62.88;0.03;8.53;25.13;5.77;7.03;1;1.16;17;3.47;4;-4;1;15;51.29;-1.26;0.5;1.32;-0.04;4.5;-0.12;-0.27;
6640;44.8643;1.7801;RCP4.5;H1;13.27;77;6;9;33;5;26;984.91;128.53;62.9;0.03;8.75;25.47;5.74;6.87;0.99;1.15;17;3.3;4;-6;1;15;55.56;-0.94;0.38;1.18;-0.04;4.6;-0.07;-0.46;
6641;44.8648;1.8812;RCP4.5;H1;13.09;78;5.13;6;37;5;26;1083.49;132.53;61.91;0.03;9.76;27.06;4.56;6.63;0.99;1.16;17;2.9;3;-7;0;15;46.07;-1.97;0.28;0.69;-0.03;1.96;-0.08;-0.64;
6642;44.8652;1.9824;RCP4.5;H1;12.41;58;3.7;9;35;6;26;1225.66;137.3;60.5;0.03;11.11;28.91;4.92;6.67;1;1.14;14;2.5;5;-5;1;17;41.72;-2.57;0.15;-0.02;-0.03;2.5;-0.05;-0.63;
6643;44.8654;2.0836;RCP4.5;H1;11.19;43;1.37;6;46;6;26;1237.6;140.27;60.71;0.03;10.88;29.82;5.61;6.8;1;1.13;12;0.94;4;-10;0;17;20.54;-2.36;0.46;0.38;-0.04;4.26;-0.12;-0.57;
6644;44.8656;2.1848;RCP4.5;H1;11.24;43;1.6;6;47;6;26;1223.52;139.73;60.34;0.06;10.81;29.51;5.65;6.97;1.01;1.14;11;1.2;3;-9;1;17;6.34;-3.5;0.06;-0.21;-0.04;4.17;-0.07;-0.46;
6645;44.8657;2.286;RCP4.5;H1;11.2;42;1.5;6;47;6;26;1227.41;140.4;60.33;0.06;10.83;29.63;5.65;6.93;1.01;1.14;11;1.1;3;-9;1;17;6.92;-3.4;0.11;-0.21;-0.04;4.2;-0.07;-0.37;
6646;44.8657;2.3871;RCP4.5;H1;10.97;45;1.6;3;56;6;26;1315.19;145.87;58.44;0.06;11.57;29.75;6.31;6.73;1.03;1.16;13;1.13;2;-11;1;18;-1.37;-3.3;0.14;0.12;-0.04;2.84;-0.14;-0.6;
6647;44.8656;2.4883;RCP4.5;H1;10.58;39;1.4;3;58;6;25;1351.35;148.83;58.32;0.06;11.82;30.82;6.19;6.57;1.04;1.16;12;1.07;3;-11;1;17;-3.24;-3.2;0.3;0.35;-0.04;3.5;-0.13;-0.76;
6648;44.8654;2.5895;RCP4.5;H1;11;38;1.2;6;46;5;24;1232.59;140.43;60.84;0.1;10.61;30.25;5.6;6.67;1.07;1.18;11;0.83;4;-12;0;14;-3.38;-4.57;0.86;1.03;-0.03;2.96;-0.16;-0.63;
6649;44.8652;2.6907;RCP4.5;H1;10.74;47;1.53;3;55;5;27;1202.73;137.47;61.1;0.13;10.46;30.44;6.19;6.1;1.1;1.24;13;1.1;3;-14;1;16;-13.81;-6.5;1.47;1.6;-0.04;4.77;-0.11;-1.27;
6650;44.8648;2.7919;RCP4.5;H1;9.88;36;0.83;1;68;4;27;1580.9;149.33;58.96;0.1;13.87;37.72;5.67;6.67;1.08;1.21;12;0.6;1;-17;0;16;-11.46;-5.5;1.2;1.51;-0.04;5.1;-0.14;-0.63;
6651;44.8643;2.893;RCP4.5;H1;9.89;46;1.37;0;72;4;29;843.96;122.57;65.47;0.13;7.08;24.05;5.31;6.33;1.11;1.28;12;1.04;0;-18;1;17;13.01;-4.73;1.92;1.88;-0.04;5.86;-0.15;-1.04;
6652;44.8638;2.9942;RCP4.5;H1;9.8;45;1.23;0;73;4;30;848.36;121.97;65.79;0.1;7.26;24.18;5.33;6;1.1;1.28;12;0.96;0;-18;1;18;13.66;-4.23;1.95;1.1;-0.05;6.4;-0.17;-1.27;
6653;44.8631;3.0954;RCP4.5;H1;9.26;37;0.73;0;77;4;30;870.92;126.23;65.23;0.1;7.34;24.74;5.63;5.73;1.09;1.27;12;0.66;0;-20;1;19;9.68;-4.37;2.11;1.19;-0.05;5.3;-0.16;-1.5;
6654;44.8624;3.1966;RCP4.5;H1;8.74;30;0.53;0;82;5;29;904.42;128.77;64.27;0.06;7.65;25.48;6.09;6.23;1.06;1.25;11;0.53;0;-18;1;19;19.26;-5.16;1.94;1.55;-0.05;6.16;-0.14;-1.07;
6655;44.8616;3.2977;RCP4.5;H1;9.25;42;0.7;0;86;4;29;879.68;130.3;64.59;0.06;7.02;24.94;6.38;6.03;1.08;1.26;13;0.63;0;-19;2;19;31.52;-1.7;1.34;0.71;-0.06;6.77;-0.18;-1.3;
6656;44.8606;3.3989;RCP4.5;H1;8.01;24;0.3;0;97;4;29;937.03;131.93;64.39;0.03;7.54;26.28;7.83;6.27;1.08;1.26;10;0.3;0;-19;1;19;27.49;-1.57;1.38;0.44;-0.06;4.16;-0.25;-1.06;
6657;44.8596;3.5001;RCP4.5;H1;7.58;17;0.13;0;96;5;32;914.26;131.43;64.12;0;7.54;26.13;7.5;5.9;1.12;1.28;9;0.13;0;-17;0;21;27.14;-1.57;1.72;1.36;-0.07;7.87;-0.26;-1.47;
6658;44.8585;3.6012;RCP4.5;H1;8.12;23;0.3;0;91;4;32;885.48;131.27;63.93;0;7.32;25.32;6.91;5.93;1.1;1.27;10;0.3;0;-19;0;22;27.71;-1.46;1.6;1.49;-0.07;9.4;-0.22;-1.47;
6659;44.8573;3.7024;RCP4.5;H1;9.01;35;0.5;0;83;4;29;816.88;119.43;68.46;0;6.47;25.63;7.09;6.2;1.03;1.2;12;0.47;0;-17;1;20;31.97;0;1.11;0.68;-0.06;6.7;-0.2;-1.1;
6660;44.856;3.8035;RCP4.5;H1;8.17;23;0.13;0;90;3;27;852.77;120.6;68.35;0.03;6.65;26.73;8.15;6.1;1.04;1.21;10;0.13;0;-18;-1;19;25.76;-1.77;1.24;0.45;-0.06;5.83;-0.15;-1.23;
6661;44.8546;3.9047;RCP4.5;H1;8.6;30;0.33;0;87;4;28;816.3;118.13;68.07;0.03;6.36;26.07;7.57;6.33;1.05;1.24;13;0.33;0;-17;0;20;8.27;-3.77;0.88;0.34;-0.05;3.44;-0.2;-0.97;
6662;44.8531;4.0058;RCP4.5;H1;8.72;28;0.27;1;81;5;30;967.18;133.63;64.47;0.1;7.54;29.71;7.74;5.9;1.09;1.27;12;0.27;1;-17;0;21;-3.83;-5.54;1.74;0.53;-0.05;4.97;-0.18;-1.4;
6663;44.8516;4.1069;RCP4.5;H1;7.88;17;0.03;1;93;3;28;1323.68;129.7;72.29;0.03;9.07;50.65;8.34;6.93;1.2;1.39;9;0.03;1;-20;-1;20;-5.37;-6.8;2.07;4.78;-0.05;2.33;-0.15;-0.44;
6664;44.8499;4.2081;RCP4.5;H1;7.57;14;0.03;1;97;3;27;1344.93;132.97;71.53;0.03;9.25;50.93;8.34;6.8;1.19;1.38;8;0.03;1;-21;-1;19;-10.74;-7.2;2.04;4.99;-0.05;2.36;-0.15;-0.5;
6665;44.8481;4.3092;RCP4.5;H1;9.54;37;0.77;1;73;4;28;1236.93;125.9;73.68;0.06;8.18;47.06;6.6;6.6;1.17;1.36;13;0.74;1;-18;-1;18;24.29;-5.2;2.94;4.65;-0.03;0.47;-0.06;-0.73;
6666;44.8463;4.4103;RCP4.5;H1;10.22;38;0.9;6;61;5;27;1354.55;107.6;79.84;0.06;9.41;54.18;5.91;7.3;1.17;1.31;13;0.8;5;-14;-1;19;31.12;-2.3;2.27;5.39;0;-1.36;-0.06;-0.03;
6667;44.8443;4.5114;RCP4.5;H1;11.58;57;2.8;6;48;4;27;1256.42;105.3;79.77;0.06;8.66;50.56;5.76;7.5;1.15;1.32;16;2.3;5;-11;0;18;29.84;-3;2.35;5.26;0.01;-1.57;-0.06;0.13;
6668;44.8423;4.6125;RCP4.5;H1;12.61;74;5.33;7;37;3;27;1162.44;102.8;79.43;0.1;7.96;47.78;5.56;6.67;1.08;1.27;17;3.83;5;-12;1;19;36.28;-2.13;2;4.19;0;-3.47;-0.12;-0.66;
6669;44.8402;4.7136;RCP4.5;H1;12.72;70;4.93;14;35;4;27;877.77;102.8;76.62;0.1;6.3;33.69;5.67;6.37;1.12;1.28;16;3.7;8;-12;2;18;28.36;-3.1;2.19;2.98;0.01;-4.63;-0.15;-0.96;
6670;44.838;4.8147;RCP4.5;H1;13.56;85;6.73;19;29;3;27;931.3;97.03;78.92;0.13;6.61;37.03;6.56;6.7;1.07;1.2;18;4.76;10;-9;2;18;38.14;-2.14;1.64;3.31;0.03;-5.1;-0.16;-0.57;
6671;44.8356;4.9158;RCP4.5;H1;13.83;88;5.27;21;26;3;25;882.83;99.63;78.22;0.23;6.45;34.91;6.8;7.47;1.01;1.12;17;3.6;10;-5;1;18;35.24;1.53;1.17;3.07;0.04;-7.03;-0.08;0.1;
6672;44.8332;5.0168;RCP4.5;H1;13.07;76;4.3;18;33;3;26;933.86;101.03;78.2;0.23;6.84;36.89;6.26;7.3;1.02;1.13;16;3.13;9;-8;1;18;37.66;1.9;1.05;3.22;0.04;-5.9;-0.09;-0.03;
6673;44.8307;5.1179;RCP4.5;H1;10.53;56;2.9;3;76;5;30;1207.18;126.33;67.22;0.13;10.26;36.72;4.7;6.57;1.08;1.22;14;2.47;3;-16;1;19;60.12;-1.07;1.19;3.8;0.01;-1.63;-0.08;-0.8;
6674;44.8281;5.2189;RCP4.5;H1;10.54;55;1.87;2;75;3;30;1227.84;123.33;67.46;0.03;10.67;36.96;4.66;5.8;1.19;1.37;15;1.4;2;-18;0;20;71.3;-3.47;1.33;3.84;-0.01;0.44;-0.12;-1.57;
6675;44.8255;5.32;RCP4.5;H1;10.02;49;1.73;2;81;5;33;1220.79;124.27;67.74;0.1;10.37;36.37;5.03;7.37;1.22;1.37;15;1.4;2;-19;-2;21;31.62;-1.76;1.26;2.03;0;-0.76;0;0.07;
6676;44.8227;5.421;RCP4.5;H1;8.81;33;0.23;0;95;4;33;1301.23;123.77;67.73;0.1;11.41;36.79;5.72;5.93;1.27;1.46;14;0.23;0;-20;0;21;-2.43;-5.43;1.82;-0.61;-0.02;-0.13;-0.23;-1.4;
6677;44.8198;5.522;RCP4.5;H1;6.57;7;0;0;118;4;29;1557.38;138.07;63.97;0.1;14.21;40.34;5.55;5.87;1.26;1.38;5;0;0;-19;-2;20;-18.46;-6.8;2.03;-0.06;-0.03;0.67;-0.2;-1.46;
6678;44.8169;5.623;RCP4.5;H1;9.99;58;1.83;0;93;3;33;1013.39;119.97;66.79;0.1;8.99;28.62;6.07;6.6;1.26;1.48;14;1.43;0;-21;-1;21;5.62;-1.96;0.87;-0.16;-0.03;-0.9;-0.17;-0.73;
6679;44.8138;5.724;RCP4.5;H1;10.66;67;3;1;82;3;36;967.91;120.07;66.16;0.13;8.65;26.34;5.57;6.87;1.3;1.46;17;2.53;1;-21;-1;24;-12.66;-2.5;0.23;-2.1;-0.02;2.93;-0.02;-0.43;
6680;44.8107;5.825;RCP4.5;H1;8.51;36;0.23;0;107;2;35;1090.22;123;66.4;0.13;9.85;29.77;6.22;6.67;1.29;1.48;13;0.23;0;-19;-2;23;-34.16;-4.2;0.41;-2.97;-0.02;3.67;-0.11;-0.73;
6681;44.8074;5.926;RCP4.5;H1;9.36;49;0.67;0;97;3;36;1036.2;122.17;66.8;0.13;9.09;29.82;6.23;7.47;1.32;1.52;14;0.64;0;-23;0;24;-24.71;-5;1.61;0.46;-0.01;0.8;0.03;0.14;
6682;44.8041;6.027;RCP4.5;H1;7.78;25;0.03;0;120;3;29;1163.7;110.67;73.41;0.16;9.61;39.88;4.01;7.43;1.23;1.45;14;0.03;0;-17;-1;22;-20.98;-6.63;2.03;1.89;-0.04;2.66;-0.09;0.1;
6683;44.8007;6.1279;RCP4.5;H1;6.21;6;0;0;136;3;26;1239.44;113.1;72.78;0.16;10.47;40.86;4.28;7.1;1.21;1.4;5;0;0;-16;-1;20;-38.7;-6.33;2.03;0.91;-0.04;2.8;-0.06;-0.23;
6684;44.7971;6.2289;RCP4.5;H1;4.52;1;0;0;163;3;20;1124.39;118.9;71.17;0.19;9;37.21;4.45;6.73;1.16;1.32;1;0;0;-12;-1;17;-29.27;-5.87;2.31;1.32;-0.04;2.94;0.01;-0.64;
6685;44.7935;6.3298;RCP4.5;H1;2.17;0;0;0;191;4;18;1246.45;120;71.36;0.23;10.5;41.28;4.97;6.33;1.2;1.33;0;0;0;-18;1;17;-35.59;-7.57;2.43;1.31;-0.04;2.27;-0.18;-0.97;
6686;44.7898;6.4307;RCP4.5;H1;2.62;0;0;0;182;4;16;1418.54;115.67;72.4;0.23;12.43;46.31;5.22;6.23;1.19;1.32;0;0;0;-17;0;15;-63.2;-7.16;2.28;-0.02;-0.04;2.3;-0.2;-1.1;
6687;44.786;6.5316;RCP4.5;H1;7.6;25;0;0;121;2;28;925.81;101.1;75.87;0.13;7.42;34.5;3.45;6.7;1.37;1.51;15;0;0;-21;-1;21;11.3;-4.83;3.15;4.07;0;0.73;0.01;-0.53;
6688;44.7822;6.6325;RCP4.5;H1;4;0;0;0;161;2;18;899.57;105.8;73.53;0.16;7.29;30.6;4.53;6.97;1.27;1.31;0;0;0;-20;-2;15;4.76;-6.17;3.11;2.15;-0.01;1.03;-0.04;-0.36;
6689;44.7782;6.7334;RCP4.5;H1;4.21;0;0;0;162;3;17;899.26;101.67;74.94;0.19;7.28;32.31;4.4;7.17;1.12;1.23;0;0;0;-15;-1;15;21.46;-7.03;3.69;3.87;-0.02;0.04;-0.06;-0.1;
6690;44.7741;6.8342;RCP4.5;H1;4.83;1;0;0;158;3;16;857.76;105;73.52;0.16;6.92;30.72;4.15;7.07;1.06;1.26;1;0;0;-13;0;14;12.16;-7.3;3.65;3.84;-0.01;1.16;-0.11;-0.26;
6691;44.77;6.9351;RCP4.5;H1;3.61;0;0;0;173;4;16;891.41;107.13;73.44;0.23;7.02;31.48;4.43;6.27;1.07;1.2;0;0;0;-13;1;14;16.57;-4.77;3.1;3.68;-0.02;1.13;-0.09;-1.1;
6692;44.7657;7.0359;RCP4.5;H1;4.07;0;0;0;165;5;17;909.7;105.3;74.69;0.16;6.85;32.21;4.37;7.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6753;44.8793;-1.2575;RCP4.5;H1;14.03;62;3.17;8;19;5;15;895.57;120.47;65.64;0.03;7.89;25.88;7.39;6.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6754;44.8825;-1.1564;RCP4.5;H1;13.92;59;3;7;20;5;15;902.37;120.7;65.64;0.03;7.96;26.08;7.39;6.67;0.92;0.96;13;2.2;4;-3;0;10;67.04;-0.03;0.4;2.69;0;-2.04;-0.12;-0.7;
6755;44.8856;-1.0553;RCP4.5;H1;14.08;74;3.83;9;21;5;16;975.57;125.03;63.72;0.03;8.58;25.65;6.5;6.57;0.94;1;17;2.83;5;-4;1;10;64.43;0.7;0.68;1.81;0;-1.44;-0.13;-0.83;
