#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h34 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORRRA : cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     NORSTM0 : somme de tempÃ©rature base 0Â°C d'octobre (annÃ©e-1) Ã  juillet (annÃ©e) (Â°C)
#     NORSDA : nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     NORDATEVEG : date de reprise de vÃ©gÃ©tation en jour julien (date)
#     NORDATEDG : Date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     NORDATEPG : Date de premiÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     ARRA : Ecart de cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     ASDA : Ecart de nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     ADATEVEG : Ecart de date de reprise de vÃ©gÃ©tation en jour julien (date)
#     ADATEDG : Ecart de date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
#-----------------------------------------------------------------------------
1850;42.2256;8.7686;RCP8.5;H1;601.14;3884.24;11.9;31;230;191;73.47;5.7;-6;-13;
1851;42.2197;8.8649;RCP8.5;H1;647.82;3421.6;6.13;39;251;172;75.37;3.73;-9;-6;
1852;42.2137;8.9611;RCP8.5;H1;662.51;2543.93;0.43;71;266;153;65.54;0;-18;-14;
1853;42.2076;9.0574;RCP8.5;H1;689.55;2098.32;0.03;89;277;139;58.51;0;-25;-13;
1854;42.2015;9.1536;RCP8.5;H1;597.7;3263.78;4.33;43;250;164;42.9;2.63;-12;-14;
1855;42.1952;9.2498;RCP8.5;H1;465.75;3970.34;17.3;30;247;167;32.27;7.57;-6;-11;
1856;42.1889;9.346;RCP8.5;H1;516.46;4352.94;18.47;25;219;203;34.72;7.1;-4;-8;
1857;42.1824;9.4421;RCP8.5;H1;523.04;4718.38;20.37;21;233;233;65.79;6.54;-2;21;
1918;42.4897;1.5116;RCP8.5;H1;639.76;2252.64;1.2;80;291;135;23.1;0.87;-13;-13;
1919;42.4905;1.6087;RCP8.5;H1;714.56;1281.02;0;130;320;117;5.04;0;-19;-16;
1920;42.4911;1.7057;RCP8.5;H1;734.91;1063.81;0;142;333;107;17.49;0;-19;-9;
1921;42.4916;1.8028;RCP8.5;H1;577;1442.86;0;120;318;123;15.84;0;-20;-14;
1922;42.4921;1.8998;RCP8.5;H1;527.39;1987.56;0.2;89;304;130;27.47;0.07;-16;-12;
1923;42.4924;1.9969;RCP8.5;H1;507.02;2303.21;1.2;76;290;139;30.48;0.97;-13;-17;
1924;42.4927;2.0939;RCP8.5;H1;509.61;2064.68;0.23;89;293;131;15.85;0.06;-17;-10;
1925;42.4929;2.191;RCP8.5;H1;583.23;2008.06;0.07;89;292;130;23;-0.03;-19;-11;
1926;42.4929;2.2881;RCP8.5;H1;565.43;1987.66;0.07;83;304;124;4.17;0.04;-16;-12;
1927;42.4929;2.3851;RCP8.5;H1;633.13;2134.37;0.23;81;302;132;53.32;0.13;-12;-11;
1928;42.4929;2.4822;RCP8.5;H1;1063.89;1661.31;0;106;308;125;73.97;0;-18;-15;
1929;42.4927;2.5792;RCP8.5;H1;819.42;3207.68;4.93;40;259;156;54.97;2.63;-9;-11;
1930;42.4924;2.6763;RCP8.5;H1;676.17;4136.39;16.1;27;228;182;47.14;5.07;-4;-4;
1931;42.4921;2.7733;RCP8.5;H1;493.9;4364.14;20.1;25;219;180;50.03;6.63;-3;-8;
1932;42.4916;2.8704;RCP8.5;H1;515.18;4167.32;16.3;27;222;180;51.23;5.2;-4;-5;
1933;42.4911;2.9674;RCP8.5;H1;578.19;3827.37;6.1;29;226;177;59.78;2.3;-6;-1;
1934;42.4905;3.0645;RCP8.5;H1;499.67;4326.4;10.47;24;215;183;44.24;3.47;-4;-8;
1992;42.303;8.6801;RCP8.5;H1;456.68;4465.91;17.83;23;214;200;54.72;6.3;-3;-13;
1993;42.2972;8.7765;RCP8.5;H1;590.48;3353.88;6;41;242;165;73.5;3.4;-12;-21;
1994;42.2913;8.8729;RCP8.5;H1;663.9;2534.23;0.43;67;269;152;73.5;0;-17;-11;
1995;42.2853;8.9693;RCP8.5;H1;660.59;2536.86;0.23;74;272;152;57.62;0;-15;-12;
1996;42.2792;9.0656;RCP8.5;H1;588.33;2642.48;0.57;61;274;150;1.42;0.5;-14;-5;
1997;42.273;9.162;RCP8.5;H1;453.81;3613.24;9.13;36;246;171;2.02;4.8;-9;-9;
1998;42.2667;9.2583;RCP8.5;H1;586.31;4067.87;18.03;29;232;177;53.68;7.23;-5;-16;
1999;42.2604;9.3546;RCP8.5;H1;598.03;3830.53;12.37;32;247;170;36.61;5.94;-7;-11;
2000;42.2539;9.4509;RCP8.5;H1;579.24;4239.62;16.57;26;228;195;70.16;5.84;-4;-15;
2061;42.5616;1.5106;RCP8.5;H1;622.56;2007.29;0.13;88;308;131;5.65;0.03;-15;-12;
2062;42.5623;1.6078;RCP8.5;H1;662.7;1598.73;0;110;314;124;2.6;0;-17;-15;
2063;42.5629;1.7049;RCP8.5;H1;701.31;1267.02;0;127;330;114;2.04;0;-21;-10;
2064;42.5634;1.8021;RCP8.5;H1;569.38;1559.26;0;113;315;126;17.24;0;-18;-14;
2065;42.5639;1.8993;RCP8.5;H1;581.07;1242.41;0;132;324;113;4.15;0;-20;-14;
2066;42.5642;1.9965;RCP8.5;H1;587.64;1501.16;0;119;315;118;22.52;0;-20;-15;
2067;42.5645;2.0936;RCP8.5;H1;532.32;1947.44;0.2;94;295;125;14.9;0.03;-19;-16;
2068;42.5647;2.1908;RCP8.5;H1;566.99;2257.62;0.6;77;284;135;25.5;0.37;-16;-12;
2069;42.5648;2.288;RCP8.5;H1;483.52;3118.59;5.3;44;267;147;10.71;2.4;-12;-4;
2070;42.5648;2.3852;RCP8.5;H1;483.15;3513.2;10.3;36;252;161;33.22;4.23;-7;-5;
2071;42.5647;2.4823;RCP8.5;H1;531.2;2948.63;4.27;49;275;145;34.75;2.1;-10;-5;
2072;42.5645;2.5795;RCP8.5;H1;574.09;3459.75;7.2;35;251;163;36.01;3.53;-8;-4;
2073;42.5642;2.6767;RCP8.5;H1;508;4022.31;14.6;28;226;180;33.1;5;-5;-2;
2074;42.5639;2.7739;RCP8.5;H1;465.21;4453.98;22.63;24;217;180;37.62;7.06;-4;-10;
2075;42.5634;2.8711;RCP8.5;H1;424.78;4607.03;23.8;23;218;182;51.62;6.63;-3;-7;
2076;42.5629;2.9682;RCP8.5;H1;417.28;4680.3;25.27;23;218;182;50.73;6.5;-3;-10;
2135;42.3746;8.6879;RCP8.5;H1;428.77;4240.17;13.33;25;220;204;39.44;5.36;-4;-9;
2136;42.3688;8.7844;RCP8.5;H1;508.6;3844.8;16.33;31;247;168;32.9;7.1;-8;-10;
2137;42.3629;8.8809;RCP8.5;H1;666.24;2514.96;0.4;68;269;151;74.51;0;-17;-11;
2138;42.3568;8.9774;RCP8.5;H1;664.13;2500.44;0.23;76;273;152;57.17;0;-15;-12;
2139;42.3507;9.0739;RCP8.5;H1;555.7;3007.06;2.2;50;264;156;1.69;1.63;-12;-9;
