Point;Latitude;Longitude;Contexte;P̩riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;
4463;43.7228;-1.3831;REF;REF;621.73;3812.24;10.57;29;247;152;
4464;43.7262;-1.284;REF;REF;628.99;3772.85;9.73;29;246;153;
4465;43.7295;-1.185;REF;REF;659.9;3756.16;14.43;32;256;148;
4466;43.7326;-1.0859;REF;REF;653.36;3794.72;15.33;32;255;149;
4467;43.7357;-0.9868;REF;REF;652.81;3810.89;15.8;32;255;146;
4468;43.7387;-0.8877;REF;REF;549.3;3647.05;18.03;36;269;136;
4469;43.7416;-0.7886;REF;REF;551.9;3629.93;17.4;36;269;136;
4470;43.7444;-0.6895;REF;REF;555.53;3629.43;17.4;36;268;135;
4471;43.7472;-0.5904;REF;REF;558.14;3614.49;17.07;37;270;137;
4472;43.7498;-0.4912;REF;REF;563.42;3580.46;16.17;37;270;137;
4473;43.7523;-0.3921;REF;REF;571.39;3556.85;15.57;37;269;136;
4474;43.7548;-0.293;REF;REF;570.01;3565.24;15.97;37;269;136;
4475;43.7571;-0.1938;REF;REF;500.77;3545.91;15.5;37;267;137;
4476;43.7594;-0.0946;REF;REF;482.91;3619.76;16.53;37;262;140;
4477;43.7616;0.0045;REF;REF;484.45;3608.28;16.07;37;262;140;
4478;43.7637;0.1037;REF;REF;495.25;3539.07;14.5;38;263;140;
4479;43.7657;0.2029;REF;REF;441.34;3515.01;13.8;38;258;140;
4480;43.7676;0.3021;REF;REF;437.19;3547.38;14.47;38;259;140;
4481;43.7694;0.4013;REF;REF;432.36;3449.73;13.63;40;269;134;
4482;43.7711;0.5005;REF;REF;441.7;3403.7;12.53;41;269;135;
4483;43.7728;0.5997;REF;REF;435.09;3451.37;13.7;40;268;135;
4484;43.7743;0.6989;REF;REF;413.46;3558.27;14.33;39;261;144;
4485;43.7758;0.7982;REF;REF;412.6;3556.17;14.27;39;259;143;
4486;43.7771;0.8974;REF;REF;409.59;3579.86;14.9;38;259;143;
4487;43.7784;0.9966;REF;REF;410.32;3523.9;13.57;39;256;139;
4488;43.7796;1.0959;REF;REF;413.41;3494.53;12.97;40;256;139;
4489;43.7807;1.1951;REF;REF;399.44;3601.2;15;38;253;140;
4490;43.7817;1.2944;REF;REF;388.84;3667.74;16.33;38;253;142;
4491;43.7826;1.3936;REF;REF;396.11;3597.7;14.9;39;253;141;
4492;43.7834;1.4929;REF;REF;398.83;3598.32;15.03;39;254;139;
4493;43.7841;1.5921;REF;REF;424.83;3621.23;18.23;40;262;141;
4494;43.7848;1.6914;REF;REF;424.23;3626.69;18.3;39;262;141;
4495;43.7853;1.7906;REF;REF;433.61;3567.17;17.07;40;260;141;
4496;43.7858;1.8899;REF;REF;447.59;3476.44;15.87;42;264;137;
4497;43.7861;1.9891;REF;REF;460.07;3548.87;15.83;40;259;140;
4498;43.7864;2.0884;REF;REF;448.35;3475.5;16;42;263;139;
4499;43.7866;2.1877;REF;REF;455.34;3413.8;15.07;43;266;137;
4500;43.7867;2.2869;REF;REF;473.81;3230.44;11.33;46;270;136;
4501;43.7867;2.3862;REF;REF;603.16;3074.38;8.23;49;268;133;
4502;43.7866;2.4855;REF;REF;629.99;2896.04;6.37;53;276;129;
4503;43.7864;2.5847;REF;REF;650.97;2741.41;4.93;57;280;129;
4504;43.7861;2.684;REF;REF;633.88;2858.9;5.77;54;276;133;
4505;43.7858;2.7833;REF;REF;645.14;2774.11;5.23;55;280;131;
4506;43.7853;2.8825;REF;REF;654.52;2746.03;4.9;57;281;132;
4507;43.7848;2.9818;REF;REF;528.41;2873.89;6.23;55;272;134;
4508;43.7841;3.081;REF;REF;704.55;3050.37;8.13;51;265;135;
4509;43.7834;3.1803;REF;REF;696.43;3031.79;7.73;51;264;135;
4510;43.7826;3.2795;REF;REF;685.86;3110.2;8.3;49;263;137;
4511;43.7817;3.3788;REF;REF;675.09;3155.96;8.7;47;263;140;
4512;43.7807;3.478;REF;REF;702.51;2973.25;6.73;52;266;138;
4513;43.7796;3.5773;REF;REF;641.66;3434.93;12.47;42;254;146;
4514;43.7784;3.6765;REF;REF;531.74;3597.3;16.73;40;262;138;
4515;43.7771;3.7757;REF;REF;519.7;3687.63;18.37;38;258;141;
4516;43.7758;3.875;REF;REF;500.33;3828.5;20.83;36;258;142;
4517;43.7743;3.9742;REF;REF;488.7;3892.64;22.2;35;256;145;
4518;43.7728;4.0734;REF;REF;521.81;3967.96;24.97;34;260;148;
4519;43.7712;4.1726;REF;REF;436.09;4082.99;24.47;33;236;158;
4520;43.7694;4.2718;REF;REF;434.11;4114.3;25.47;32;238;158;
4521;43.7676;4.371;REF;REF;441.65;4094.66;24.83;33;236;156;
4522;43.7657;4.4702;REF;REF;439.78;4093.43;24.63;33;236;157;
4523;43.7637;4.5694;REF;REF;427.71;4034.84;27.83;35;246;153;
4524;43.7616;4.6686;REF;REF;382.42;4094.81;26.9;33;241;155;
4525;43.7594;4.7678;REF;REF;404.35;3861.65;23.8;38;253;144;
4526;43.7572;4.8669;REF;REF;421.01;3767.12;21.63;39;257;142;
4527;43.7548;4.9661;REF;REF;423.5;3745.46;20.83;40;257;142;
4528;43.7524;5.0652;REF;REF;412.26;3821.12;23.03;39;253;143;
4529;43.7498;5.1644;REF;REF;425.48;3667.42;24.17;43;267;135;
4530;43.7472;5.2635;REF;REF;429.81;3637.62;23.23;43;267;135;
4531;43.7445;5.3626;REF;REF;409.53;3582.65;25.1;44;274;133;
4532;43.7417;5.4618;REF;REF;421.75;3470.27;22.8;46;276;131;
4533;43.7388;5.5609;REF;REF;422.61;3425.72;20.87;47;276;132;
4534;43.7358;5.66;REF;REF;427.24;3354.45;17.87;47;273;134;
4535;43.7327;5.759;REF;REF;422.13;3583.84;24;43;272;132;
4536;43.7295;5.8581;REF;REF;422.09;3643.43;23.03;43;265;149;
4537;43.7262;5.9572;REF;REF;439.34;3524.88;19.57;44;263;146;
4538;43.7229;6.0562;REF;REF;442.02;3505.79;18.8;45;263;146;
4539;43.7194;6.1552;REF;REF;497.29;3384.15;13.4;44;264;144;
4540;43.7159;6.2543;REF;REF;556.59;2821.69;5.4;58;279;133;
4541;43.7123;6.3533;REF;REF;562.88;2752.64;4.5;60;281;132;
4542;43.7086;6.4523;REF;REF;565.91;2753.15;4.63;60;282;131;
4543;43.7047;6.5513;REF;REF;563.36;2780.61;4.93;59;282;131;
4544;43.7008;6.6502;REF;REF;585.01;2576.05;2.17;65;281;131;
4545;43.6969;6.7492;REF;REF;539.27;3014.23;7.33;54;272;137;
4546;43.6928;6.8481;REF;REF;610.8;3043.85;7.47;53;272;139;
4547;43.6886;6.9471;REF;REF;579.92;3448.96;6.5;40;241;163;
4548;43.6843;7.046;REF;REF;497.88;4028.75;14.5;29;231;178;
4549;43.68;7.1449;REF;REF;386.95;4328.74;12.47;24;218;200;
4550;43.6756;7.2438;REF;REF;378.88;4424.71;12.83;23;0;0;
4551;43.671;7.3427;REF;REF;375.04;4459.29;12.97;23;0;0;
4606;43.7947;-1.3878;REF;REF;619.68;3826.06;10.77;29;247;152;
4607;43.798;-1.2886;REF;REF;623.65;3800.56;10.53;29;247;152;
4608;43.8013;-1.1894;REF;REF;597.96;3558.06;15.53;36;273;136;
4609;43.8045;-1.0902;REF;REF;604.56;3530.24;14.77;36;272;136;
4610;43.8076;-0.991;REF;REF;601.52;3549.39;15.43;36;273;136;
4611;43.8106;-0.8918;REF;REF;545.63;3666.62;18.7;36;269;137;
4612;43.8135;-0.7926;REF;REF;548.18;3649.47;18.13;36;269;137;
4613;43.8163;-0.6933;REF;REF;557.27;3605.19;16.83;37;268;137;
4614;43.819;-0.5941;REF;REF;561.87;3593.19;16.67;37;266;136;
4615;43.8217;-0.4948;REF;REF;562.4;3589.85;16.57;37;266;136;
4616;43.8242;-0.3956;REF;REF;569.79;3567.23;15.93;37;269;135;
4617;43.8267;-0.2963;REF;REF;495.32;3586.2;16.4;37;267;137;
4618;43.829;-0.197;REF;REF;496;3581.19;16.17;37;267;137;
4619;43.8313;-0.0977;REF;REF;480.72;3636.37;16.9;37;261;140;
4620;43.8335;0.0016;REF;REF;490.61;3590.36;15.43;37;261;141;
4621;43.8356;0.1009;REF;REF;495.73;3550.65;14.8;38;263;141;
4622;43.8376;0.2002;REF;REF;495.69;3567.63;15.3;37;263;141;
4623;43.8395;0.2995;REF;REF;436.61;3557.16;14.87;38;261;140;
4624;43.8413;0.3989;REF;REF;435;3579;15.93;38;260;139;
4625;43.843;0.4982;REF;REF;448.29;3516.08;14.47;39;263;139;
4626;43.8447;0.5975;REF;REF;408.75;3601.77;14.83;38;258;143;
4627;43.8462;0.6969;REF;REF;406.75;3603.91;15.1;38;257;143;
4628;43.8477;0.7962;REF;REF;411.83;3572.38;14.5;39;259;143;
4629;43.849;0.8956;REF;REF;413.08;3562.84;14.33;39;260;143;
4630;43.8503;0.9949;REF;REF;419.15;3539.44;14.57;39;253;141;
4631;43.8515;1.0943;REF;REF;420.82;3496.61;13.97;40;255;140;
4632;43.8526;1.1937;REF;REF;429.29;3577.44;16.33;40;259;140;
4633;43.8536;1.293;REF;REF;424.43;3578.95;16.2;40;258;140;
4634;43.8545;1.3924;REF;REF;391.45;3642.63;15.73;38;252;141;
4635;43.8553;1.4918;REF;REF;421.46;3650.23;18.6;39;259;142;
4636;43.856;1.5912;REF;REF;431.1;3549.09;17;41;261;140;
4637;43.8567;1.6905;REF;REF;432.69;3534.18;16.83;41;261;140;
4638;43.8572;1.7899;REF;REF;423.27;3608.59;17.87;39;258;142;
4639;43.8577;1.8893;REF;REF;431.02;3560.58;17.07;40;260;140;
4640;43.858;1.9887;REF;REF;437.62;3500.2;16.23;41;261;139;
4641;43.8583;2.0881;REF;REF;444.7;3463.26;15.73;42;262;140;
4642;43.8585;2.1875;REF;REF;450.77;3403.45;14.93;43;267;139;
4643;43.8586;2.2869;REF;REF;468.2;3254.7;11.93;46;270;137;
4644;43.8586;2.3863;REF;REF;598.67;3098.21;8.8;49;271;133;
4645;43.8585;2.4857;REF;REF;625.12;2926.19;6.9;52;274;131;
4646;43.8583;2.585;REF;REF;628.45;2922.84;6.33;52;274;131;
4647;43.858;2.6844;REF;REF;499.12;3087.21;9.43;51;272;135;
4648;43.8577;2.7838;REF;REF;491.84;3154.58;10.43;50;269;135;
4649;43.8572;2.8832;REF;REF;498.46;3122;9.9;50;268;136;
4650;43.8567;2.9826;REF;REF;518.96;2951.23;7.53;54;271;135;
4651;43.856;3.082;REF;REF;595.89;2906.76;7.97;56;276;130;
4652;43.8553;3.1814;REF;REF;606.37;2788.74;6.43;59;278;131;
4653;43.8545;3.2807;REF;REF;728.43;2775.66;4.73;57;272;138;
4654;43.8536;3.3801;REF;REF;723.35;2801.55;4.93;56;272;138;
4655;43.8526;3.4795;REF;REF;704.9;2987.62;7.03;52;265;135;
4656;43.8515;3.5788;REF;REF;796.82;3310.52;11.53;46;258;144;
4657;43.8503;3.6782;REF;REF;609.1;3676.69;15.47;37;247;150;
4658;43.849;3.7776;REF;REF;522.68;3656.49;17.3;39;258;140;
4659;43.8477;3.8769;REF;REF;519.43;3689.28;18.43;38;258;141;
4660;43.8462;3.9763;REF;REF;529.37;3856.08;22.1;36;256;147;
4661;43.8447;4.0756;REF;REF;529.41;3917.84;23.67;35;259;148;
4662;43.843;4.1749;REF;REF;448.64;3974.05;21.5;34;238;157;
4663;43.8413;4.2743;REF;REF;450.09;3976.1;21.77;35;240;157;
4664;43.8395;4.3736;REF;REF;444.05;4074.13;24.2;33;236;156;
4665;43.8376;4.4729;REF;REF;441.45;4096.37;24.9;33;236;156;
4666;43.8356;4.5722;REF;REF;438.81;3971.47;26.1;36;245;152;
4667;43.8335;4.6715;REF;REF;387.52;4074.58;26.47;34;240;155;
4668;43.8313;4.7708;REF;REF;391.39;3986.56;27.77;36;253;145;
4669;43.8291;4.8701;REF;REF;400.4;3941.19;26.33;37;253;145;
4670;43.8267;4.9694;REF;REF;402.36;3924.04;25.9;37;253;145;
4671;43.8242;5.0687;REF;REF;420.92;3723.6;26;42;267;134;
4672;43.8217;5.168;REF;REF;455.78;3448.7;17.3;46;273;134;
4673;43.8191;5.2672;REF;REF;458.19;3428.02;18.8;46;274;133;
4674;43.8163;5.3665;REF;REF;471.72;3291.54;14.87;48;272;135;
4675;43.8135;5.4657;REF;REF;493.94;3110.43;10.77;51;277;132;
4676;43.8106;5.5649;REF;REF;518.88;3297.68;16.67;50;273;133;
4677;43.8076;5.6641;REF;REF;500.18;3338.94;17.5;49;271;135;
4678;43.8045;5.7634;REF;REF;475.73;3464.16;22.3;48;272;134;
4679;43.8013;5.8625;REF;REF;429.24;3495.03;20.2;46;270;142;
4680;43.7981;5.9617;REF;REF;443.99;3494.81;18.93;45;267;149;
4681;43.7947;6.0609;REF;REF;454.8;3418.25;16.7;46;267;148;
4682;43.7913;6.1601;REF;REF;459.52;3352.38;15.17;48;267;148;
4683;43.7877;6.2592;REF;REF;495.87;2972.89;9.47;57;272;139;
4684;43.7841;6.3584;REF;REF;530.96;2613.97;4.37;67;283;129;
4685;43.7804;6.4575;REF;REF;566.43;2761.33;4.77;60;279;129;
4686;43.7766;6.5566;REF;REF;584;2626.02;2.7;64;279;133;
4687;43.7726;6.6557;REF;REF;687.43;2502.46;0.47;67;280;138;
4688;43.7687;6.7548;REF;REF;712.11;2372.15;0.2;73;279;135;
4689;43.7646;6.8538;REF;REF;684.23;2444.94;0.3;67;285;135;
4690;43.7604;6.9529;REF;REF;638.29;2829.36;4.03;58;278;135;
4691;43.7561;7.0519;REF;REF;623.76;2974.52;2.43;49;270;146;
4692;43.7518;7.151;REF;REF;442.43;3830.85;7.6;31;221;183;
4693;43.7473;7.25;REF;REF;419.57;4055.12;10.27;28;216;189;
4694;43.7428;7.349;REF;REF;422.33;4029.92;10.1;28;216;187;
4695;43.7382;7.4479;REF;REF;399.51;4322.71;12.2;25;0;0;
4749;43.8665;-1.3925;REF;REF;618.78;3831.97;10.97;29;0;0;
4750;43.8699;-1.2932;REF;REF;622.83;3799.88;10.37;29;246;150;
4751;43.8731;-1.1939;REF;REF;594.72;3556.3;15.93;36;274;134;
4752;43.8763;-1.0945;REF;REF;605.78;3516.24;14.27;37;271;136;
4753;43.8794;-0.9952;REF;REF;606.07;3514.58;14.23;37;271;136;
4754;43.8824;-0.8959;REF;REF;602.65;3545.47;15;36;272;136;
4755;43.8853;-0.7965;REF;REF;606.84;3569.05;15.53;36;270;134;
4756;43.8882;-0.6972;REF;REF;552.64;3635.41;17.9;36;268;136;
4757;43.8909;-0.5978;REF;REF;559.02;3612.05;17.3;37;266;136;
4758;43.8935;-0.4984;REF;REF;560.31;3603.44;16.97;37;266;136;
4759;43.8961;-0.399;REF;REF;564.34;3588.73;16.67;37;267;137;
4760;43.8985;-0.2996;REF;REF;492.3;3614.54;17.23;37;267;137;
4761;43.9009;-0.2002;REF;REF;495.3;3592.76;16.7;37;266;136;
4762;43.9032;-0.1008;REF;REF;485.09;3610;16.17;37;262;139;
4763;43.9054;-0.0014;REF;REF;490.68;3585.53;15.57;37;263;139;
4764;43.9075;0.0981;REF;REF;492.16;3573.99;15.3;37;263;139;
4765;43.9095;0.1975;REF;REF;492.09;3588.73;15.97;37;261;140;
4766;43.9114;0.297;REF;REF;433.68;3580.59;16.03;38;259;139;
4767;43.9132;0.3964;REF;REF;433.54;3582.09;16.03;38;259;139;
4768;43.9149;0.4959;REF;REF;445.05;3525.24;14.3;38;259;139;
4769;43.9166;0.5953;REF;REF;406.99;3616.12;15.23;38;257;144;
4770;43.9181;0.6948;REF;REF;412.42;3559.96;14.27;39;258;143;
4771;43.9196;0.7943;REF;REF;411.87;3572.38;14.5;39;259;143;
4772;43.9209;0.8937;REF;REF;427.19;3483.16;13.5;40;259;140;
4773;43.9222;0.9932;REF;REF;421.61;3520.12;14.17;40;253;141;
4774;43.9234;1.0927;REF;REF;412.5;3553.76;14.97;40;252;140;
4775;43.9245;1.1922;REF;REF;424.78;3608.21;16.87;40;258;140;
4776;43.9255;1.2917;REF;REF;424.37;3605.62;17;40;258;140;
4777;43.9264;1.3912;REF;REF;421.47;3602.94;16.7;40;258;138;
4778;43.9272;1.4907;REF;REF;444.1;3570.37;16.23;40;258;138;
4779;43.928;1.5902;REF;REF;457.55;3586.59;17.73;40;261;142;
4780;43.9286;1.6897;REF;REF;463.81;3529.02;16.8;41;266;141;
4781;43.9291;1.7892;REF;REF;441.1;3440.33;15.47;42;262;137;
4782;43.9296;1.8888;REF;REF;432.08;3519.27;16.53;41;261;139;
4783;43.93;1.9883;REF;REF;431.22;3558.71;16.97;40;260;140;
4784;43.9302;2.0878;REF;REF;437.38;3528.72;16.53;41;261;141;
4785;43.9304;2.1873;REF;REF;439.79;3503.73;16.1;42;263;141;
4786;43.9305;2.2868;REF;REF;460.06;3318.27;13.53;45;269;136;
4787;43.9305;2.3863;REF;REF;468.23;3222.14;10.73;46;268;137;
4788;43.9304;2.4858;REF;REF;478.81;3160.86;9.03;48;270;136;
4789;43.9302;2.5854;REF;REF;494.08;3134.15;10.5;50;267;137;
4790;43.93;2.6849;REF;REF;498.97;3100.03;9.7;51;270;136;
4791;43.9296;2.7844;REF;REF;486.46;3215.71;11.23;48;269;136;
4792;43.9291;2.8839;REF;REF;501.84;3092.5;9.47;51;266;135;
4793;43.9286;2.9834;REF;REF;591.37;2946.11;8.83;55;275;130;
4794;43.928;3.0829;REF;REF;615.46;2744.68;5.8;60;281;130;
4795;43.9272;3.1824;REF;REF;621.78;2712.02;5.83;62;279;131;
4796;43.9264;3.2819;REF;REF;616.06;2641.96;4.87;63;281;130;
4797;43.9255;3.3814;REF;REF;858.08;2899.51;5.8;54;269;139;
4798;43.9245;3.4809;REF;REF;845.76;3043;7.3;52;264;141;
4799;43.9234;3.5804;REF;REF;812.04;3204.59;8.93;47;257;143;
4800;43.9222;3.6799;REF;REF;616.48;3619.96;14.73;38;248;150;
4801;43.921;3.7794;REF;REF;523.14;3653.16;17.27;39;258;140;
4802;43.9196;3.8789;REF;REF;550.26;3732.85;19.47;38;257;144;
4803;43.9181;3.9783;REF;REF;541.1;3787.82;20.73;37;257;145;
4804;43.9166;4.0778;REF;REF;549.92;3947.52;23.97;35;239;153;
4805;43.9149;4.1773;REF;REF;557.3;3898.76;22.4;36;240;152;
4806;43.9132;4.2767;REF;REF;554.78;3970.22;24.83;35;240;154;
4807;43.9114;4.3762;REF;REF;457.94;3936.45;20.6;35;237;158;
4808;43.9095;4.4756;REF;REF;454.71;3964.14;21.67;35;237;157;
4809;43.9075;4.5751;REF;REF;441.74;3973.85;25.7;36;244;152;
4810;43.9054;4.6745;REF;REF;443.34;3964.73;25.8;36;244;151;
4811;43.9032;4.7739;REF;REF;393.89;3967.62;27.07;37;251;144;
4812;43.9009;4.8733;REF;REF;429.48;3958.99;26.83;37;252;145;
4813;43.8986;4.9728;REF;REF;433.38;3929.33;25.53;38;252;145;
4814;43.8961;5.0722;REF;REF;411.79;3786.15;27.87;41;267;134;
4815;43.8936;5.1715;REF;REF;432.08;3606.71;24.13;44;273;133;
4816;43.8909;5.2709;REF;REF;428.92;3629.69;24.7;44;273;133;
4817;43.8882;5.3703;REF;REF;435.54;3529.58;22.4;45;272;133;
4818;43.8854;5.4697;REF;REF;452.06;3394.66;17.13;46;272;138;
4819;43.8825;5.569;REF;REF;464.81;3310.11;15.17;48;273;138;
4820;43.8795;5.6684;REF;REF;518.64;3282.35;16.2;49;273;135;
4821;43.8764;5.7677;REF;REF;514.41;3323.38;17.07;49;272;134;
4822;43.8732;5.867;REF;REF;431.4;3509.37;20.67;46;267;141;
4823;43.8699;5.9663;REF;REF;454.71;3473.01;18.27;46;266;148;
4824;43.8665;6.0656;REF;REF;471.64;3335.45;15.37;48;268;144;
4825;43.8631;6.1649;REF;REF;478.72;3158.63;12.27;52;274;141;
4826;43.8595;6.2642;REF;REF;554.53;2386.48;2.3;76;286;125;
4827;43.8559;6.3634;REF;REF;574.74;2203.02;0.8;83;294;123;
4828;43.8522;6.4627;REF;REF;620.05;2425.96;4.9;73;297;117;
4829;43.8484;6.5619;REF;REF;641.41;2289.99;2.97;80;299;119;
4830;43.8445;6.6611;REF;REF;661.61;2126.04;1.43;86;300;118;
4831;43.8405;6.7604;REF;REF;695.4;2493.08;0.6;68;279;137;
4832;43.8364;6.8595;REF;REF;668.5;2636.17;1.23;64;278;135;
4833;43.8322;6.9587;REF;REF;671.94;2606.78;1;65;278;134;
4834;43.8279;7.0579;REF;REF;632.51;2899.04;5.53;57;279;135;
4835;43.8235;7.157;REF;REF;551.77;3699.49;9.63;36;228;173;
4836;43.8191;7.2562;REF;REF;515.82;3666.82;9.4;35;231;175;
4837;43.8146;7.3553;REF;REF;511.53;3735.28;10.6;34;228;177;
4838;43.8099;7.4544;REF;REF;546.16;3506.68;6.97;38;234;179;
4839;43.8052;7.5535;REF;REF;418.49;4068.98;10.3;28;0;0;
4892;43.9383;-1.3972;REF;REF;616.13;3843.06;11.17;29;0;0;
4893;43.9417;-1.2978;REF;REF;625.55;3782.09;10.03;30;246;150;
4894;43.945;-1.1983;REF;REF;631.91;3740.75;9.77;30;245;151;
4895;43.9482;-1.0989;REF;REF;606.35;3512.81;14.2;37;271;136;
4896;43.9513;-0.9994;REF;REF;609.44;3493.52;13.83;37;272;136;
4897;43.9543;-0.9;REF;REF;608.74;3507.02;14.2;37;271;136;
4898;43.9572;-0.8005;REF;REF;609.19;3533.16;14.43;36;272;136;
4899;43.96;-0.701;REF;REF;555.64;3602.61;17.1;37;268;136;
4900;43.9628;-0.6015;REF;REF;557.58;3604.27;17.1;37;268;137;
4901;43.9654;-0.502;REF;REF;519.1;3488.81;17.8;39;279;132;
4902;43.968;-0.4025;REF;REF;524.29;3463.08;17.23;39;279;131;
4903;43.9704;-0.303;REF;REF;529.77;3425.54;16.27;40;280;132;
4904;43.9728;-0.2034;REF;REF;493.46;3563.55;16.23;37;268;138;
4905;43.9751;-0.1039;REF;REF;500.33;3531.27;15.23;38;267;137;
4906;43.9773;-0.0043;REF;REF;506.94;3498.87;14.43;38;267;139;
4907;43.9793;0.0952;REF;REF;472.5;3430.87;15;40;274;134;
4908;43.9814;0.1948;REF;REF;442.39;3508.69;15.1;40;267;138;
4909;43.9833;0.2944;REF;REF;443.79;3503.77;14.97;40;266;138;
4910;43.9851;0.3939;REF;REF;433.11;3585.06;16.1;38;259;139;
4911;43.9868;0.4935;REF;REF;444.97;3525.24;14.3;38;259;139;
4912;43.9885;0.5931;REF;REF;438.74;3587.68;16.23;38;260;139;
4913;43.99;0.6927;REF;REF;408.74;3602.68;15.13;38;258;142;
4914;43.9915;0.7923;REF;REF;407.24;3619.88;15.63;38;256;142;
4915;43.9928;0.8919;REF;REF;421.66;3542.38;14.57;40;257;142;
4916;43.9941;0.9915;REF;REF;424.73;3512.2;15.4;41;261;138;
4917;43.9953;1.0911;REF;REF;416.79;3546.11;16.03;41;261;137;
4918;43.9964;1.1908;REF;REF;420.77;3634.65;17.7;39;260;141;
4919;43.9974;1.2904;REF;REF;416.55;3631.69;17.73;39;259;140;
4920;43.9983;1.39;REF;REF;423.21;3588.47;16.43;40;258;138;
4921;43.9991;1.4896;REF;REF;448.18;3534.23;15.67;40;260;137;
4922;43.9999;1.5893;REF;REF;451.37;3498.72;15.07;41;266;136;
4923;44.0005;1.6889;REF;REF;472.13;3452.38;15.73;42;266;139;
4924;44.0011;1.7885;REF;REF;472.79;3442.54;15.47;42;265;139;
4925;44.0015;1.8882;REF;REF;470.21;3462.06;15.7;42;262;139;
4926;44.0019;1.9878;REF;REF;474.33;3424.34;15.13;42;265;138;
4927;44.0022;2.0875;REF;REF;483.23;3379.65;14.6;43;269;139;
4928;44.0023;2.1871;REF;REF;483.46;3395.24;14.67;43;268;137;
4929;44.0024;2.2867;REF;REF;502.52;3247.43;11.2;45;269;139;
4930;44.0024;2.3864;REF;REF;509.86;3183.04;9.5;47;269;139;
4931;44.0023;2.486;REF;REF;512.14;3138.45;8.47;47;270;139;
4932;44.0022;2.5857;REF;REF;496.57;3084.69;9.53;51;272;132;
4933;44.0019;2.6853;REF;REF;488.54;3192.62;10.87;49;270;134;
4934;44.0015;2.785;REF;REF;491.16;3167.77;10.57;49;270;135;
4935;44.0011;2.8846;REF;REF;522.42;2922.41;7.17;54;270;133;
4936;44.0005;2.9842;REF;REF;518.5;2967.06;7.83;53;270;132;
4937;43.9999;3.0839;REF;REF;615.78;2743.04;5.8;60;282;130;
4938;43.9991;3.1835;REF;REF;631.74;2626.87;5.07;64;283;130;
4939;43.9983;3.2831;REF;REF;600.01;2774.79;6.07;59;276;130;
4940;43.9974;3.3827;REF;REF;616.83;2637.02;4.87;63;281;130;
4941;43.9964;3.4824;REF;REF;879.84;2727.85;3.93;59;275;138;
4942;43.9953;3.582;REF;REF;790.92;3285.6;10.37;46;260;146;
4943;43.9941;3.6816;REF;REF;742.28;3502.62;15.9;42;257;146;
4944;43.9929;3.7812;REF;REF;799.03;3300.69;10.63;45;255;144;
4945;43.9915;3.8808;REF;REF;731.87;3598.38;18.27;41;254;146;
4946;43.99;3.9804;REF;REF;547.55;3876.18;22.37;36;242;154;
4947;43.9885;4.08;REF;REF;548.3;3953.13;24.1;35;241;156;
4948;43.9868;4.1796;REF;REF;547.58;3958.12;24.27;35;241;156;
4949;43.9851;4.2792;REF;REF;554.28;3973.59;24.97;35;240;154;
4950;43.9833;4.3788;REF;REF;556.23;3976.25;25.17;35;241;153;
4951;43.9814;4.4783;REF;REF;450.45;4000.62;22.6;34;236;157;
4952;43.9794;4.5779;REF;REF;455.49;3993.75;22.6;34;236;158;
4953;43.9773;4.6775;REF;REF;460.01;3825.15;22;38;244;150;
4954;43.9751;4.777;REF;REF;443.93;3959.76;25.63;36;244;151;
4955;43.9728;4.8766;REF;REF;427.82;3969.77;27.47;37;252;145;
4956;43.9704;4.9761;REF;REF;405.08;3831.11;29.57;40;267;137;
4957;43.968;5.0756;REF;REF;427.47;3679.27;24.67;43;267;134;
4958;43.9654;5.1751;REF;REF;476.45;3307.19;15.07;48;273;135;
4959;43.9628;5.2746;REF;REF;482.17;3272.63;14.33;48;273;134;
4960;43.9601;5.3741;REF;REF;482.7;3207.7;12.47;49;274;135;
4961;43.9572;5.4736;REF;REF;526.72;2719.97;5.97;60;285;126;
4962;43.9543;5.5731;REF;REF;538.47;3129.59;12.9;53;273;134;
4963;43.9513;5.6726;REF;REF;541.15;3080.01;12.03;54;273;132;
4964;43.9482;5.772;REF;REF;518.85;3301.43;16.6;50;272;134;
4965;43.945;5.8715;REF;REF;438.86;3465.11;19.2;47;267;141;
4966;43.9418;5.9709;REF;REF;457.4;3451.37;17.83;46;265;146;
4967;43.9384;6.0703;REF;REF;462.21;3349.78;15.53;48;267;146;
4968;43.9349;6.1697;REF;REF;472.03;3231.76;13.47;51;271;143;
4969;43.9314;6.2691;REF;REF;552.19;2408.75;2.43;76;286;126;
4970;43.9277;6.3685;REF;REF;537.08;2552.53;3.67;70;283;128;
4971;43.924;6.4679;REF;REF;634.99;2254.72;3;82;301;113;
4972;43.9202;6.5673;REF;REF;640.71;2245.16;2.7;83;298;117;
4973;43.9163;6.6666;REF;REF;650.49;2170.91;1.83;86;298;117;
4974;43.9123;6.7659;REF;REF;629.56;2377.23;4.03;75;295;119;
4975;43.9082;6.8653;REF;REF;589.74;2634.48;7.97;65;292;119;
4976;43.904;6.9646;REF;REF;601.91;3088.96;7.67;51;270;140;
4977;43.8997;7.0639;REF;REF;609.02;3089.12;8.4;52;272;143;
4978;43.8953;7.1631;REF;REF;588.95;3236.27;10.63;47;267;142;
4979;43.8909;7.2624;REF;REF;570.15;3289.07;3.73;42;247;163;
