#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
2073;42.5642;2.6767;RCP8.5;H1;3;22.22;26.06;1.3;1.41;
2074;42.5639;2.7739;RCP8.5;H1;3;23.79;27.8;1.34;1.42;
2075;42.5634;2.8711;RCP8.5;H1;3;24.46;28.18;1.37;1.42;
2076;42.5629;2.9682;RCP8.5;H1;3;24.72;28.5;1.37;1.41;
2077;42.5623;3.0654;RCP8.5;H1;3;24.25;26.64;0;0;
2134;42.3804;8.5913;RCP8.5;H1;3;24;27.22;0;0;
2135;42.3746;8.6879;RCP8.5;H1;3;22.76;25.91;1.43;1.31;
2136;42.3688;8.7844;RCP8.5;H1;3;22.12;26.65;1.76;1.78;
2137;42.3629;8.8809;RCP8.5;H1;3;17.29;19.7;1.67;1.62;
2138;42.3568;8.9774;RCP8.5;H1;3;17.16;19.5;1.69;1.6;
2139;42.3507;9.0739;RCP8.5;H1;3;19.32;22.31;1.84;1.79;
2140;42.3446;9.1704;RCP8.5;H1;3;22.38;26.49;1.83;1.92;
2141;42.3383;9.2668;RCP8.5;H1;3;21.03;24.1;1.92;1.93;
2142;42.3319;9.3632;RCP8.5;H1;3;20.42;23.24;1.9;1.89;
2143;42.3254;9.4596;RCP8.5;H1;3;22.66;26.63;1.7;1.9;
2144;42.3189;9.556;RCP8.5;H1;3;24.72;27.98;0;0;
2203;42.6326;1.4123;RCP8.5;H1;3;11;13.39;1.6;1.8;
2204;42.6334;1.5096;RCP8.5;H1;3;11.8;14.42;1.66;1.78;
2205;42.6341;1.6069;RCP8.5;H1;3;11.47;13.85;1.86;2.01;
2206;42.6347;1.7042;RCP8.5;H1;3;12;14.49;1.89;2.05;
2207;42.6353;1.8014;RCP8.5;H1;3;13.78;16.86;1.73;1.91;
2208;42.6357;1.8987;RCP8.5;H1;3;12.25;14.82;1.67;1.8;
2209;42.6361;1.996;RCP8.5;H1;3;12.35;14.87;1.88;1.99;
2210;42.6363;2.0933;RCP8.5;H1;3;15.07;18.68;1.47;1.65;
2211;42.6365;2.1906;RCP8.5;H1;3;12.72;15.17;1.44;1.54;
2212;42.6366;2.2879;RCP8.5;H1;3;17.05;20.54;1.4;1.49;
2213;42.6366;2.3852;RCP8.5;H1;3;21.08;25.39;1.3;1.39;
2214;42.6365;2.4825;RCP8.5;H1;3;22.32;26.18;1.26;1.37;
2215;42.6363;2.5798;RCP8.5;H1;3;22.7;26.54;1.39;1.42;
2216;42.6361;2.6771;RCP8.5;H1;3;23.28;27.31;1.38;1.49;
2217;42.6357;2.7744;RCP8.5;H1;3;24.22;27.89;1.32;1.35;
2218;42.6353;2.8717;RCP8.5;H1;3;24.62;28.38;1.37;1.42;
2219;42.6347;2.969;RCP8.5;H1;3;24.88;28.7;1.37;1.41;
2220;42.6341;3.0663;RCP8.5;H1;3;24.94;28.78;0;0;
2278;42.4462;8.6957;RCP8.5;H1;3;23.77;26.99;1.35;1.18;
2279;42.4404;8.7924;RCP8.5;H1;3;21.63;24.65;1.58;1.58;
2280;42.4344;8.889;RCP8.5;H1;3;17.69;20.17;1.67;1.59;
2281;42.4284;8.9856;RCP8.5;H1;3;17.21;19.58;1.68;1.62;
2282;42.4223;9.0822;RCP8.5;H1;3;18.79;21.57;1.84;1.78;
2283;42.4161;9.1788;RCP8.5;H1;3;23.16;27.79;1.75;1.87;
2284;42.4098;9.2753;RCP8.5;H1;3;21.96;25.56;1.93;1.95;
2285;42.4034;9.3719;RCP8.5;H1;3;22.35;26.48;1.82;2.04;
2286;42.397;9.4684;RCP8.5;H1;3;23.08;27.2;1.65;1.83;
2331;42.6817;-0.0495;RCP8.5;H1;3;12.19;14.9;0;0;
2332;42.6839;0.0479;RCP8.5;H1;3;11.84;14.49;0;0;
2333;42.6859;0.1452;RCP8.5;H1;3;13.04;15.9;0;0;
2334;42.6879;0.2426;RCP8.5;H1;3;12.88;15.73;0;0;
2335;42.6897;0.3399;RCP8.5;H1;3;11.94;14.57;0;0;
2336;42.6915;0.4373;RCP8.5;H1;3;10.85;13.35;1.95;2.1;
2337;42.6932;0.5346;RCP8.5;H1;3;10.83;13.39;1.48;1.6;
2338;42.6948;0.632;RCP8.5;H1;3;12.49;15.44;1.5;1.67;
2343;42.7015;1.1189;RCP8.5;H1;3;13.52;16.6;0;0;
2344;42.7026;1.2163;RCP8.5;H1;3;12.3;14.93;0;0;
2345;42.7036;1.3137;RCP8.5;H1;3;12.62;15.72;0;0;
2346;42.7044;1.4111;RCP8.5;H1;3;13.72;17.01;2.38;3.02;
2347;42.7052;1.5086;RCP8.5;H1;3;13.6;16.67;1.63;1.82;
2348;42.706;1.606;RCP8.5;H1;3;13.51;16.48;1.36;1.39;
2349;42.7066;1.7034;RCP8.5;H1;3;14.65;18.1;1.35;1.41;
2350;42.7071;1.8008;RCP8.5;H1;3;16.89;21.07;1.3;1.38;
2351;42.7076;1.8982;RCP8.5;H1;3;16.31;20.38;1.28;1.37;
2352;42.7079;1.9956;RCP8.5;H1;3;13.7;16.76;1.31;1.33;
2353;42.7082;2.093;RCP8.5;H1;3;16.56;20.33;1.22;1.31;
2354;42.7084;2.1905;RCP8.5;H1;3;15.43;18.74;1.25;1.31;
2355;42.7085;2.2879;RCP8.5;H1;3;16.62;20.15;1.45;1.6;
